memory_depth,score,time
1,2.637,272.5214729309082
1,2.6290000000000004,267.0858759880066
1,2.615,267.857613325119
1,2.6239999999999997,273.897096157074
1,2.6239999999999997,273.3895812034607
1,2.601,272.9993326663971
1,2.619,273.57513093948364
1,2.611,273.7244772911072
1,2.638,273.40855836868286
1,2.619,273.0600996017456
1,2.615,274.29054737091064
1,2.6220000000000003,267.81730604171753
1,2.625,273.46151185035706
1,2.623,268.57066917419434
1,2.623,272.9922819137573
1,2.6239999999999997,133.11459851264954
1,2.6470000000000002,131.8063063621521
1,2.6239999999999997,131.2232208251953
1,2.6220000000000003,140.04454970359802
1,2.617,128.71539425849915
2,2.7960000000000003,271.9546024799347
2,2.762,265.0509889125824
2,2.772,264.2214777469635
2,2.766,270.6153655052185
2,2.8,271.7385666370392
2,2.752,269.4148967266083
2,2.81,272.6105992794037
2,2.786,272.2928845882416
2,2.81,271.41820549964905
2,2.808,269.0072147846222
2,2.782,269.52774810791016
2,2.772,269.8141565322876
2,2.7920000000000003,267.7713854312897
2,2.7920000000000003,262.1129062175751
2,2.804,270.8301582336426
2,2.75,135.04419469833374
2,2.776,135.12768054008484
2,2.768,135.43657851219177
2,2.7350000000000003,133.18197441101074
2,2.75,132.19041204452515
3,2.7120000000000006,266.0103008747101
3,2.784,269.72529792785645
3,2.746,270.9141938686371
3,2.7199999999999998,269.9453811645508
3,2.762,266.76167368888855
3,2.81,268.7592062950134
3,2.776,270.2919731140137
3,2.7640000000000002,270.1517708301544
3,2.7620000000000005,268.0124523639679
3,2.7800000000000002,266.8781876564026
3,2.774,269.2158114910126
3,2.6990000000000003,270.20321679115295
3,2.694,266.42179226875305
3,2.75,271.3011784553528
3,2.803,269.33163261413574
3,2.79,135.3673815727234
3,2.7190000000000003,134.20107102394104
3,2.7630000000000003,135.55481028556824
3,2.776,134.42345118522644
3,2.7220000000000004,132.45899081230164
4,2.721,266.1994936466217
4,2.705,272.315452337265
4,2.724,272.7533631324768
4,2.7169999999999996,273.5760395526886
4,2.71,267.5320029258728
4,2.709,273.4989025592804
4,2.695,272.6776394844055
4,2.7079999999999997,273.2288942337036
4,2.645,272.2946195602417
4,2.7720000000000002,273.9654541015625
4,2.7340000000000004,271.79911637306213
4,2.685,271.7987024784088
4,2.709,267.59509897232056
4,2.7359999999999998,268.0164680480957
4,2.684,271.16597628593445
4,2.7019999999999995,137.16107964515686
4,2.739,135.4093759059906
4,2.716,136.1910378932953
4,2.701,141.70883917808533
4,2.74,133.61881971359253
5,2.707,283.1291444301605
5,2.7079999999999997,276.07692289352417
5,2.7060000000000004,283.2738792896271
5,2.714,281.08598375320435
5,2.702,275.4410765171051
5,2.6830000000000003,283.58090591430664
5,2.655,283.2603702545166
5,2.7090000000000005,282.7742621898651
5,2.706,283.91396260261536
5,2.706,283.13531279563904
5,2.6930000000000005,278.15479373931885
5,2.7190000000000003,283.87926864624023
5,2.69,280.4377484321594
5,2.725,275.11714220046997
5,2.71,281.6180374622345
5,2.7190000000000003,142.50765657424927
5,2.7190000000000003,134.55894923210144
5,2.742,134.6093351840973
5,2.7169999999999996,133.14378666877747
5,2.682,132.8364336490631
