generations,score,time
10,2.6199999999999997,1.7742083072662354
10,2.64625,1.7488844394683838
10,2.6575,1.7071964740753174
10,2.75625,1.7896480560302734
10,2.58375,1.7952861785888672
20,2.6950000000000003,2.472682237625122
20,2.72375,2.605652332305908
20,2.68375,2.4196383953094482
20,2.6625,2.462907314300537
20,2.6637500000000003,2.5646731853485107
30,2.6325,3.4758710861206055
30,2.54875,3.3689799308776855
30,2.685,3.5595154762268066
30,2.6100000000000003,3.437725305557251
30,2.585,3.4701685905456543
